品牌,型号,受欢迎度,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒,耗材名称；耗材型号；价格,网址,净化器类型,评测
IQAir,HEALTHPRO GC MULTIGAS,2,,,20,160,22,57,瑞士,20,,,3,TRUE,TRUE,TRUE,TRUE,TRUE,"过滤网；HealthPro GC H11 HEPA ；1280
过滤网；GC MultiGas；4370
过滤网；Post-Filter Sleeves；1780","http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.19.j0AKdJ&id=40806419697&rn=7351a5458db6d581c9bdef152316cb1b
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.21.35vZL9&id=40808707176&rn=d6507a67c42e1caecd8ea95ecc8da2ae
http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-8155651445.27.35vZL9&id=40846321011&rn=d6507a67c42e1caecd8ea95ecc8da2ae",过滤型,
LG,HPS-A090BW,4,,,1.9,3.2,,32,韩国,0.53,,,,,,,,,无耗材,,,
LG,HPS-B090BG,5.9,,,1.9,3.2,,32,韩国,0.71,"1,088",,3,TRUE,FALSE,FALSE,FALSE,TRUE,无耗材,,,
LG,HPS-B090BP,5.9,,,1.9,3.2,,32,韩国,0.71,"1,128",,3,TRUE,FALSE,FALSE,FALSE,TRUE,无耗材,,,
LG,HPS-B090BW,6.9,,,1.9,4,,32,韩国,0.85,"1,099",,3,TRUE,FALSE,FALSE,FALSE,TRUE,无耗材,,,
LG,PH-U450WN,6.9,,,8,45,,18,韩国,12,"3,600",,3,TRUE,FALSE,TRUE,FALSE,FALSE,无耗材,,,
LG,PH-U459WN,3,,,,45,49,18,,12,,,,,,,,,无耗材,,,
LG,PS-P809WF,5,,,,90,53,20,韩国,16,"6,880",,,TRUE,,TRUE,,,无耗材,,,
LG,PS-R450WN,5.9,,,,35,47,18,,7.3,"2,003.8",,3,TRUE,FALSE,TRUE,TRUE,TRUE,无耗材,,,
LG,PS-R451WN,2.9,,,,35,47,18,韩国,7.3,"1,999",,4,TRUE,FALSE,TRUE,TRUE,FALSE,无耗材,,,
LG,PS-R459WN,3,,,,35,47,18,,7.3,,,,,,,,,无耗材,,,
LG,PS-S209WC,4,,,,18,43,18,韩国,7.2,,,,TRUE,,,,,无耗材,,,
LG,PS-T450WN,5.9,,,8,50,,18,韩国,10,"3,698",,3,TRUE,FALSE,TRUE,FALSE,FALSE,无耗材,,,
LG,PS-T459WN,3,,,,50,49,18,,10,,,,,,,,,无耗材,,,
LG,PS-V219CG,3,,,,,44,19,,6.9,,,,,,,,,"除臭过滤网；
HEPA过滤网；",——,,
LG,PS-V219CS,3,,,,,44,19,,6.9,,,,,,,,,"除臭过滤网；
HEPA过滤网；",——,,
LG,WBS040CP,5.9,,,,344,,,,7.4,"2,898",,3,TRUE,FALSE,TRUE,FALSE,FALSE,无耗材,,,
SKG,4202,6.5,253,FALSE,,45,20,40,中国,4.5,,,4,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；4202；69
HEPA滤网；SKG4202；89","http://www.skg.com/G534DFA05BBBBF.html
http://www.skg.com/product-2241.html",,
SKG,4203,2,,,,80,,35,中国,7.8,,350,,,TRUE,TRUE,TRUE,,"活性炭滤网；4203；129
HEPA滤网；4203；269","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.30.5o8WKp&id=41414105756&areaId=211200&cat_id=2&rn=0660bbeb25391b0229d2444f3bbfe9e2&user_id=1748419346&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.36.5o8WKp&id=41388042314&areaId=211200&cat_id=2&rn=0660bbeb25391b0229d2444f3bbfe9e2&user_id=1748419346&is_b=1",,
SKG,4204,5,253,FALSE,,53,,35,中国,5,,,4,TRUE,TRUE,TRUE,TRUE,TRUE,无耗材,,,
SKG,4207,5.7,,,,45,,35,中国,8.3,,,4,TRUE,TRUE,TRUE,TRUE,TRUE,"活性炭滤网；4207；109
HEAP过滤网；4207；149
复合冷触媒过滤网；4207；89","http://www.skg.com/product-2240.html
http://www.skg.com/product-2237.html
http://www.skg.com/product-2238.html",,
SKG,4208,7.5,270,FALSE,,45,,35,中国,6.5,"1,498",,4,TRUE,FALSE,TRUE,TRUE,TRUE,"活性炭滤网；4207；109
HEAP过滤网；4207；149
复合冷触媒过滤网；4207；89","http://www.skg.com/product-2240.html
http://www.skg.com/product-2237.html
http://www.skg.com/product-2238.html",,
SKG,4209,2.5,,,,45,,35,中国,6.4,,,,TRUE,,TRUE,TRUE,FALSE,——（无产品）,,,
SKG,4210,5.5,,,,45,,35,中国,6.5,,,4,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；4207；109
HEAP过滤网；4207；149
复合冷触媒过滤网；4207；89","http://www.skg.com/product-2240.html
http://www.skg.com/product-2237.html
http://www.skg.com/product-2238.html",,
SKG,4212,7.5,253,FALSE,,40,,,中国,6.9,"1,849",,5,TRUE,TRUE,TRUE,TRUE,TRUE,"纳米矿晶过滤网；4212；129
三重复合滤网；4212；249","http://www.skg.com/4294.html
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.20.TOpMxh&id=39564791020&areaId=211200&cat_id=2&rn=0b364893a8f52d9c32c4d46bb7ca3e2c&user_id=1748419346&is_b=1",,
SKG,4213,2.5,,,,40,,,中国,4.5,699,,,TRUE,,TRUE,TRUE,TRUE,复合滤网；——；——,——,,
SKG,4218,3,250,FALSE,,,,,,7.8,,250,4,,TRUE,TRUE,TRUE,,"HEPA过滤网；——；——
活性炭滤网；——；——
TiO2光触媒滤网；——；——",——,,
SKG,4219,2.7,100,FALSE,,3.5,,35,中国,0.8,,,,FALSE,FALSE,FALSE,FALSE,FALSE,"HEPA过滤网；——；——
活性炭滤网；——；——
冷加湿水帘滤网；——；——",——,,
SKG,4220,3.7,,,,60,25,40,,5,,170,3,,,TRUE,,,"HEPA过滤网；——；——
活性炭滤网；——；——
光触媒滤网；——；——",——,,
SKG,4222,1.7,,,,68,20,45,中国,7.5,,,4,,TRUE,TRUE,TRUE,TRUE,"HEPA过滤网；——；——
活性炭滤网；——；——
纤维碳滤网；——；——
铝基光触媒复合网；——；——",——,,
SKG,4231,1.7,100,FALSE,,6,,45,中国,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE,"HEPA过滤网；——；——
活性炭滤网；——；——
光触媒滤网；——；——",——,,
SKG,4240,4,180,FALSE,,25,,,中国,5.7,,180,3,,,TRUE,,,无耗材,,,
SKG,4241,3,,,,,,,,3.5,,80,3,,,TRUE,,,复合滤网；——；——,——,,
SKG,4242,4,,,,,,,中国,3.1,899,250,3,,,TRUE,,,"HEPA过滤网和活性炭滤网；——；——
光触媒滤网；——；——",——,,
SKG,4248,6.7,,,,6,,45,中国,0.6,499,30,,,,,,,活性炭HEPA组合网；——；——,——,,
SKG,4260,5.7,255,FALSE,,52,,,中国,7.9,,260,3,TRUE,TRUE,TRUE,TRUE,TRUE,复合滤网；4260；399,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.W4F1j5&id=40992882957&areaId=211200&cat_id=2&rn=0da2a614ae7a8bf7f10194f12461ab25&user_id=2044142649&is_b=1,,
SKG,4875,3,425,FALSE,,,,,,6.5,,425,6,,TRUE,TRUE,TRUE,,"HEPA过滤网；——；——
活性炭滤网；——；——
光触媒滤网；——；——",——,,
SKG,4878,3.8,320,FALSE,,58,,,中国,7.5,,,4,TRUE,TRUE,TRUE,TRUE,FALSE,"HEPA过滤网；——；——
活性炭滤网；——；——
冷触媒滤网；——；——",——,,
SKG,4887,3,350,FALSE,,,,,,6.1,,,6,,,TRUE,TRUE,,"HEPA过滤网；——；——
活性炭滤网；——；——",——,,
SKG,4889,3,350,FALSE,,,,,,6.1,,,6,,TRUE,TRUE,TRUE,,"HEPA过滤网；——；——
活性炭滤网；——；——",——,,
TCL,TCJ-F25A,4,,,,,,,中国,0.56,549,,,,,,TRUE,,"初效过滤网；——
HEPA和活性炭复合滤网；——",——,,
TCL,TCJ-F45A,3.9,,,,8,,,中国,0.9,559,,,FALSE,TRUE,FALSE,FALSE,TRUE,"初效过滤网；——
HEPA和活性炭复合滤网；——",——,,
TCL,TCL-360,5.5,330,FALSE,,65,28,45,中国,8.2,,360,4,TRUE,TRUE,TRUE,TRUE,TRUE,360集成一体化滤网；360；480,http://shop.tcl.com/mall/goods/detail.html?goods_id=203,,
TCL,TKJ-F210B,4.7,,,,45,,35,中国,5.5,,220,4,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA滤网；F210B；128
活性炭滤网；F210B；88","http://shop.tcl.com/mall/goods/detail.html?goods_id=201
http://shop.tcl.com/mall/goods/detail.html?goods_id=202",,
TCL,TKJ-F220B,5.7,,,,45,,35,中国,5.5,989,220,4,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA滤网；F210B；128
活性炭滤网；F210B；88","http://shop.tcl.com/mall/goods/detail.html?goods_id=201
http://shop.tcl.com/mall/goods/detail.html?goods_id=202",,
TCL,TKJ-F230B,5.5,,,,50,,35,中国,4.8,,230,4,TRUE,TRUE,TRUE,FALSE,TRUE,"HEPA+活性炭+无纺棉复合高效过滤网；F230B；148
钛金光催化复合网；F230B；118","http://shop.tcl.com/mall/goods/detail.html?goods_id=195
http://shop.tcl.com/mall/goods/detail.html?goods_id=197",,
TCL,TKJ-F260B,1.9,,,,48,,,,6.6,"1,499",,,FALSE,FALSE,TRUE,FALSE,TRUE,"HEPA滤网；F260B；148
活性炭滤网；F260B；98
钛金冷触媒双层滤网；F260B；158","http://shop.tcl.com/mall/goods/detail.html?goods_id=200
http://shop.tcl.com/mall/goods/detail.html?goods_id=199
http://shop.tcl.com/mall/goods/detail.html?goods_id=198",,
TCL,TKJ-F280B,7.4,,,,56,22,45,中国,6.8,"2,199",280,3,FALSE,TRUE,TRUE,TRUE,TRUE,"HEPA滤网；F260B；148
活性炭滤网；F260B；98
钛金冷触媒双层滤网；F260B；158","http://shop.tcl.com/mall/goods/detail.html?goods_id=200
http://shop.tcl.com/mall/goods/detail.html?goods_id=199
http://shop.tcl.com/mall/goods/detail.html?goods_id=198",,
TCL,TKJ-F300B,5.5,,,,60,,45,中国,9.2,,300,4,TRUE,TRUE,TRUE,TRUE,TRUE,"HEPA滤网；F300B；158
活性炭滤网；F300B；98
钛金冷触媒复合滤网；F300B；149","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.43.YCRAJ1&id=35589862273&areaId=211200&cat_id=2&rn=f2b3ab75162690e777c40c27e98ba75f&user_id=909196148&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.55.YCRAJ1&id=35588966631&areaId=211200&cat_id=2&rn=f2b3ab75162690e777c40c27e98ba75f&user_id=909196148&is_b=1
http://shop.tcl.com/mall/goods/detail.html?goods_id=191",,
TCL,TKJ-F330A,5.5,,,,6.5,,65,中国,9.2,"3,800.75",330,4,TRUE,TRUE,TRUE,TRUE,TRUE,"HEPA滤网；F330A；158
活性炭滤网；F330A；98
钛金冷触媒复合滤网；F330A；248","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.77.ipVAIt&id=35589862273&areaId=211200&cat_id=2&rn=5ac3a92ae85755e2ea76b3c0d5bebe36&user_id=909196148&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.83.ipVAIt&id=35588966631&areaId=211200&cat_id=2&rn=5ac3a92ae85755e2ea76b3c0d5bebe36&user_id=909196148&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.154.ipVAIt&id=41269422415&areaId=211200&cat_id=2&rn=5ac3a92ae85755e2ea76b3c0d5bebe36&user_id=2205393080&is_b=1",,
cado,AP-C100,5.8,81,TRUE,5.3,30,30,61,中国,3.5,"3,280",120,3,FALSE,,TRUE,FALSE,TRUE,滤芯过滤器；FL-C100；399,http://www.cado.cn/shop/product/show/productId/129,,
cado,AP-C300,4.8,203,TRUE,20,10,30,58,中国,9.7,"4,743",360,3,TRUE,,TRUE,TRUE,TRUE,滤芯过滤器；FL-C300；699,http://www.cado.cn/shop/product/show/productId/130,,
cado,AP-C500,4.8,392,TRUE,25,155,30,58,中国,17.5,"7,980",510,3,FALSE,,TRUE,FALSE,TRUE,滤芯过滤器；FL-C500；999,http://www.cado.cn/shop/product/show/productId/133,,
cado,AP-C700,5,400,TRUE,25,16,30,58,中国,18,"9,561.1",768,3,,,TRUE,,,滤芯过滤器；FL-C700；949.5,http://www.cado.cn/shop/product/show/productId/134,,
三星,501,1.7,,,,4,33,26,,0.51,,,,,,,,,无耗材,,,
三星,600,1.7,,,,3,24,17,,0.73,,,3,,,,,,无耗材,,,
三星,AC-347HPAWQ/SC,8.6,253,FALSE,,36,,58,韩国,11.6,"5,589",330,3,TRUE,FALSE,FALSE,TRUE,FALSE,"HEPA滤网；CFX-2HPA/TS；400
除臭滤网；CFX-2DPA/TS；465","http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2HPA/TS
http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2DPA/TS",,
三星,AC-383CSAUA/SC,10.4,308,FALSE,,44,,,韩国,8.7,"3,280",372,3,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA 除尘过滤网；CFX-2HSA/SC；334.99
除臭过滤网；CFX-2DSA/SC；400
抗过敏原过滤网；CFX-2FSA/SC；315","http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2HSA/SC
http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2DSA/SC
http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2FSA/SC",,
三星,AC-405CPAWQ/SC,8.6,289,FALSE,,36,,,韩国,9.7,"5,300",384,3,TRUE,FALSE,TRUE,TRUE,FALSE,"HEPA滤网；CFX-2HPA/TS；400
除臭滤网；CFX-2DPA/TS；465","http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2HPA/TS
http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2DPA/TS",,
三星,AC-505CMAGA/SC,8.6,443,FALSE,,55,45,58,韩国,12.2,"5,150",456,4,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA滤网；CFX-2HMA；400
活性炭滤网；CFX-2DMA；465","http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2HMA/CH
http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2DMA/CH",,
三星,AG-053VKCBB/SC,3.7,,,,3,,26,,0.5,,,2,,,,,,HEPA滤网；——；——,——,,
三星,AX-022FCVAND/SC,5.7,179,FALSE,,15,,,韩国,6.1,"1,980",192,4,,,,,,HEPA滤网除臭滤网一体式滤网；CFX-2TCA；425,http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2TCA,,
三星,AX-022FCVAUW/SC,2,179,FALSE,,10.8,,,韩国,6.1,"2,580",,3,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA滤网；
活性炭过滤网；",——,,
三星,AX-034EPXAUW/SC,8.6,,,,36,,,韩国,11.6,"5,500",330,3,TRUE,FALSE,TRUE,TRUE,TRUE,"HEPA滤网；
活性炭过滤网；
加湿滤网；",——,,
三星,AX-041FCVAUW/SC,5.7,305,FALSE,,34,,,韩国,6.9,,354,4,,FALSE,FALSE,TRUE,TRUE,HEPA滤网除臭滤网一体式滤网；CFX-2TCB；450.01,http://store.samsung.com/cn/wg/ac/ac-filter/p/CFX-2TCB,,
三星,SA501TBCH,5.7,,,2,4,26,33,韩国,0.51,,,,FALSE,,FALSE,FALSE,FALSE,无耗材,,,
三星,SA501TPCH,6.7,,,2,4,26,33,韩国,0.51,980,,,FALSE,,,,,无耗材,,,
三星,SA501TWCH,3.7,,,2.5,4.8,33,26,,0.51,950,,3,FALSE,FALSE,FALSE,FALSE,FALSE,无耗材,,,
三星,SA600CB,3,,,2,4,25,29,,,,,,,,,,,无耗材,,,
三星,SA600CBSSEC,3.6,,,,,24,17,韩国,0.73,"1,299",,3,FALSE,FALSE,,FALSE,FALSE,无耗材,,,
三星,SA600CP,3,,,2,4,25,29,,,,,,,,,,,无耗材,,,
三星,SA600CPSSEC,3.6,,,,,24,17,韩国,0.73,959,,3,FALSE,FALSE,FALSE,FALSE,,无耗材,,,
三星,SA600CWSSEC,4.6,,,,,24,17,韩国,0.73,898,,3,FALSE,FALSE,FALSE,FALSE,FALSE,无耗材,,,
三菱重工,SPA-421AC,4.8,252,FALSE,,50,,,中国,7.9,,300,4,TRUE,TRUE,TRUE,TRUE,TRUE,无耗材,,复合型（离子）,
三菱重工,SPA-582AC,5.8,360,FALSE,,67,,,中国,7.9,"4,980",348,4,TRUE,TRUE,TRUE,TRUE,TRUE,无耗材,,复合型（离子）,
三菱重工,SPS-361AC,4.8,216,FALSE,,50,,,中国,4.3,"2,218",300,4,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；——
HEPA滤网；——",——,复合型（离子）,
三菱重工,SPS-511AC,4.8,306,FALSE,,50,,,中国,6.2,"3,180",400,4,TRUE,,TRUE,TRUE,TRUE,"活性炭滤网；——
HEPA滤网；——",——,复合型（离子）,
东芝,CAF-G50C,5,295,FALSE,,,,,泰国,6.3,"2,699",,4,,,TRUE,TRUE,TRUE,无耗材,,复合型（离子）,
东芝,CAF-KP40X,4.7,192,FALSE,,40,,49,中国,9.4,"3,699",,,,,TRUE,TRUE,,无耗材,,复合型（离子）,
东芝,CAF-KP50X,4.7,252,FALSE,,47,,52,中国,10.6,"4,303.5",,,,,TRUE,TRUE,,无耗材,,复合型（离子）,
东芝,CAF-P35C,4.7,150,FALSE,,,,49,中国,4.8,"1,499",,,,,TRUE,TRUE,,无耗材,,过滤型,
亚都,BG200,2.9,,,,6,,55,,0.862,499,,3,,,,TRUE,,复合滤芯；BG200；39,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.162.rFztuP&id=39470237445&areaId=211200&cat_id=2&rn=051b5a5b5cf829644f8aa68ff400bb00&user_id=1778355479&is_b=1,,
亚都,KJ130AS,2.6,,,,40,,55,,5.5,798,120,3,FALSE,FALSE,FALSE,FALSE,FALSE,复合滤芯； KJG1201；148,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.54.tfaGYW&id=19262828294&areaId=211200&cat_id=2&rn=d51091a3401a6b02da10cf6cb3a148ed&user_id=1020035293&is_b=1,,
亚都,KJ300AS,3.6,,,,65,,55,,7.5,989,260,3,FALSE,TRUE,TRUE,FALSE,FALSE,复合滤芯； HJZ300；298,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.dMHqDu&id=37333897054&areaId=211200&cat_id=2&rn=4accf673aabea1b2f41867369366288f&user_id=1778355479&is_b=1,,
亚都,KJF1282,2.9,,,,40,,55,,13,999,120,,FALSE,FALSE,FALSE,TRUE,FALSE,滤芯组件；YD06；200,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.36.AfW9TR&id=36846557310&rn=33d820b5037326864ecf96710d7e979f,,
亚都,KJF1353E,4.6,,,,40,,55,中国,6.1,799,,3,TRUE,TRUE,TRUE,TRUE,TRUE,滤网组件；YD04；180,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.29.FA4HFq&id=36857152168&rn=041e5c432207816085c57098eaa7007d,,
亚都,KJF2101A,2.7,,,,55,,,,4.7,680.4,,,,,,,,滤网组件；——,,,
亚都,KJF2106T,1.9,100,FALSE,,40,,55,中国,7.4,"1,799",,3,TRUE,FALSE,TRUE,TRUE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF2202T,5.6,150,FALSE,,40,,45,中国,8.2,"1,599",150,3,FALSE,TRUE,TRUE,TRUE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF2203E,5.6,,,,40,,45,中国,8.2,"1,859",150,3,TRUE,TRUE,TRUE,TRUE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF2301A,1.7,,,,36,,,,4.9,,,,,,,,,——（无产品）,,,
亚都,KJF2701T,1.5,,,,40,,44,中国,8.5,,,,TRUE,,TRUE,FALSE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF2801N,3.6,,,,40,39,55,,13,"2,356",130,,TRUE,TRUE,TRUE,TRUE,TRUE,滤网组件；YD03；217,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.33.hhkYxq&id=36843975861&rn=a89e793ea67ea4cdd68a3f178f0aa58a,,
亚都,KJF2801S,2.6,,,26,60,39,55,,13,"2,499",130,3,,,TRUE,TRUE,TRUE,滤网组件；YD03；217,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.33.hhkYxq&id=36843975861&rn=a89e793ea67ea4cdd68a3f178f0aa58a,,
亚都,KJF2901,7.6,,,,53,,44,中国,10.3,"2,499",260,3,FALSE,FALSE,FALSE,TRUE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF2902,1.7,,,,53,,44,,10,,260,,,,,,,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
