品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,风档,图片,数据来源
Philips,AC4016/00,224,224,,350,196,623,9.92,31,62,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4016_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4016_00/prd
Philips,AC4026/00,127,127,,333,186,510,6.28,39,54,,30,-1,ABS,中国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4026_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4026_00/prd
Philips,AC4076/00,250,250,,354,194,645,7.4,31,61,,47,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4076_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4076_00/prd
Philips,AC4091/00,340,340,,455,295,685,15.0,37,58,,51,-1,ABS,韩国,-1,-1,http://images.philips.com/is/image/PhilipsConsumer/AC4091_00-IMS-zh_CN?wid=330&hei=330&$jpglarge$,http://www.philips.com.cn/c/%E7%A9%BA%E6%B0%94%E5%87%80%E5%8C%96%E5%99%A8/new-home-air-purifier-ac4091_00/prd
Samsung,AX022FCVAND/SC,179,,,478,362,163,6.1,,,,15,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/air-care/AX022FCVAND/SC-spec
Samsung,AX034EPXAUW/SC,,,,478,450,274,11.6,,,,29,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/paper/AX034EPXAUW/SC-spec
Samsung,AX041FCVAUW/SC,305,,,478,362,213,6.9,,,,34,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/air-care/AX041FCVAUW/SC-spec
Samsung,AC-505CMAGA/SC,443,,,607,435,283,12.2,,58,,55,-1,,,-1,5,,http://www.samsung.com//cn/consumer/home-appliances/air-care/air-care/AC-505CMAGA/SC-spec
Samsung,AC-347HPAWQ/SC,253,,,478,450,274,11.6,,,,29,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/paper/AC-347HPAWQ/SC-spec
Samsung,AG-053VKCBB,,,,,,,,,26,,3,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor-for-car/AG-053VKCBB/SC-spec
Samsung,AC-383CSAUA/SC,308,,,574,402,251,8.9,,,,44,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/air-care/AC-383CSAUA/SC-spec
Samsung,SA501TBCH,,,,,,,,26,33,2,4,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA-T501BA-spec
Samsung,AC-405CPAWQ/SC,289,,,478,450,274,9.7,,,,32,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/paper/AC-405CPAWQ/SC-spec
Samsung,SA600CB,,,,,,,,25,29,2,4,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA600CBSSEC-spec
Samsung,SA501TPCH,,,,,,,,26,33,2,4,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA-T501PA-spec
Samsung,SA600CP,,,,,,,,25,29,2,4,-1,,,-1,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA600CPSSEC-spec
Whirlpool,WA-2001FK,200,,,595,336,235,6.0,,,,,-1,,,-1,3,http://www.whirlpool.com.cn/UploadImage/Product/Big/201310271829321.jpg,http://www.whirlpool.com.cn/product/detail.aspx?id=377
Whirlpool,WA-2002FK,200,,,595,336,235,6.0,,,,,-1,,,-1,3,http://www.whirlpool.com.cn/UploadImage/Product/Big/201310271834301.jpg,http://www.whirlpool.com.cn/product/detail.aspx?id=378
Whirlpool,WA-4001FK,200,,,595,336,235,6.0,,,,,-1,,,-1,3,http://www.whirlpool.com.cn/UploadImage/Product/Big/201310271842411.jpg,http://www.whirlpool.com.cn/product/detail.aspx?id=379
