品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
Comedes,LR200,,,,600,350,230,6.9,蓝色,,,,40,150,,中国,6.0,"HEPA滤网,活性炭滤网",有,不支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012085/000000000120854817/fullimage/000000000120854817_1.jpg,http://product.suning.com/120854817.html
Coway,AP-0509DH,,,,,,,,,,,,43,,,韩国,,,,,,,无,-1,http://image.suning.cn/content/catentries/00000000010586/000000000105867739/fullimage/000000000105867739_1.jpg,http://product.suning.com/105867739.html
Coway,AP-0509DH,,,,178,304,559,5,,31,44,,27,,ABS塑料,,,,,,,,,3,http://2d.zol-img.com.cn/product/132_160x120/11/ce71AKtodGczY.jpg,http://detail.zol.com.cn//378/377110/param.shtml
Coway,AP-1005AH,,,,544,508,180,8.8,银色,,,,47,,,韩国,12.0,HEPA滤网,有,支持,支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010123/000000000101237866/fullimage/000000000101237866_1.jpg,http://product.suning.com/101237866.html
Coway,AP-1005AH,,,,510,544,181,8.8,,22,49,,47,6,ABS塑料,,,,,,,,,5,http://2b.zol-img.com.cn/product/132_160x120/111/ceTslalwcdBis.jpg,http://detail.zol.com.cn//378/377111/param.shtml
Coway,AP-1009CH,,,,,,,5.9,白色,,,,,,,韩国忠南公州,,,支持,,,,,,http://img14.360buyimg.com/n1/g14/M07/02/08/rBEhV1NnXikIAAAAAAEqHtlXdgMAANBbwKq0bkAASo2999.jpg,http://item.jd.com/1016654.html
Coway,AP-1009CH,,,,,,,,,,,,38,,,韩国,,,,,,,有,-1,http://image.suning.cn/content/catentries/00000000010586/000000000105865281/fullimage/000000000105865281_1.jpg,http://product.suning.com/105865281.html
Coway,AP-1009CH,,,,353,655,203,5.9,白色,,,,44,,,韩国,36.0,HEPA滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010123/000000000101237867/fullimage/000000000101237867_1.jpg,http://product.suning.com/101237867.html
Coway,AP-1009CH,,,,,,,5.9,,22,49,,26,,ABS塑料,,,,,,,,,4,http://2b.zol-img.com.cn/product/132_160x120/129/ceks3T9isprKg.jpg,http://detail.zol.com.cn//378/377112/param.shtml
Coway,AP-1012GH,,,,219,350,628,7.6,,,,,90,,ABS塑料,,,,,,,,,3,http://2e.zol-img.com.cn/product/132_160x120/264/ceZq8h0FROaiw.jpg,http://detail.zol.com.cn//378/377113/param.shtml
Coway,AP-1013A,,,,,,,6.4,白色,,,,,,,韩国,,,,,,,,,http://img10.360buyimg.com/n1/g14/M09/02/17/rBEhVlNov1MIAAAAAAH_el6XpUMAANHTwE0e9cAAf-S291.jpg,http://item.jd.com/1083190.html
Coway,AP-1013A,,,,170,455,505,6.4,,,,,45,8,ABS塑料,,,,,true,,,,3,http://2f.zol-img.com.cn/product/132_160x120/361/cesA4lmzZTc.jpg,http://detail.zol.com.cn//378/377114/param.shtml
Coway,AP-1511FHE,,,,292,476,565,12,,,49,,80,8,ABS塑料,,,,,true,,,,6,http://2f.zol-img.com.cn/product/132_160x120/397/cefBw9xiZK1P6.jpg,http://detail.zol.com.cn//378/377115/param.shtml
Coway,AP-2510EH,,,,390,980,186,11,,,,,90,,ABS塑料,,,,,,,,,3,http://2b.zol-img.com.cn/product/132_160x120/173/ceajYDiaRmTg.jpg,http://detail.zol.com.cn//378/377085/param.shtml
Coway,AP-3008FH,,,,410,600,920,24.5,,,,,106,1008,ABS塑料,,,,,,,,,1,http://2d.zol-img.com.cn/product/132_160x120/443/ce48VgNkROnbc.jpg,http://detail.zol.com.cn//378/377116/param.shtml
Coway,APM-0812DH,,,,,,,8.0,蓝色,,,,,,,韩国,,,,,,,,,http://img11.360buyimg.com/n1/g15/M0A/1C/01/rBEhWFNov7QIAAAAAAHWFzFoI8UAAM7_wNTb4cAAdYv529.jpg,http://item.jd.com/1083216.html
Coway,APM-0812DH,,,,,,,8,绿色,,,,26,,,韩国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010668/000000000106686986/fullimage/000000000106686986_1.jpg,http://product.suning.com/106686986.html
Coway,APM-0812DH,,,,240,370,505,8,,31,44,,26,,ABS塑料,,,,,,,,,3,http://2d.zol-img.com.cn/product/133_160x120/907/cebhhKMybcegQ.jpg,http://detail.zol.com.cn//378/377117/param.shtml
Coway,APM-1510FH,,,,346,465,708,15,,,48,,63,,ABS塑料,,,,,true,,,,4,http://2f.zol-img.com.cn/product/132_160x120/559/ceMBnJkiN2Ro2.jpg,http://detail.zol.com.cn//378/377118/param.shtml
EC逸臣,EC-JHQ-01,,,,300,200,500,4.9,金色,,,,30,150,,中山市,12.0,"活性炭滤网,HEPA滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010777/000000000107776674/fullimage/000000000107776674_1.jpg,http://product.suning.com/107776674.html
FED瑞马,VM-JH02,,,,520,85,320,5,白色,,,,45,,,广东,12.0,HEPA滤网,无,不支持,支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010660/000000000106609008/fullimage/000000000106609008_1.jpg,http://product.suning.com/106609008.html
HEIGOO, 家用车载 AP-CZ-03,,,,43,105,105,0.75,,,,,2,51,,,,,,,,,,1,http://2b.zol-img.com.cn/product/134_160x120/273/cezlRpawetX1Q.jpg,http://detail.zol.com.cn//382/381058/param.shtml
HEIGOO,F-GNM-B38,,,,608,415,293,8.95,白色,,,,90,400,,,,,,,,,,三,http://2f.zol-img.com.cn/product/134_160x120/763/cex1XJO82fXOU.jpg,http://detail.zol.com.cn//381/380726/param.shtml
HOYI,HY1668,,,,569,329,220,9,白色,,,,48,400,,广东,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012089/000000000120892683/fullimage/000000000120892683_1.jpg,http://product.suning.com/120892683.html
HanJiaOurs,XW-361,,,,180,200,180,1.1,白色,,,,6,80,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010930/000000000109303312/fullimage/000000000109303312_1.jpg,http://product.suning.com/109303312.html
HanJiaOurs,XW-688,,,,569,329,200,6.5,白色,,,,50,5,,中国,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010930/000000000109303345/fullimage/000000000109303345_1.jpg,http://product.suning.com/109303345.html
HealthPro,GC MultiGas,,,,,,,20.0,白色,22.0,57.0,20.0,160.0,,ABS,瑞士,,,支持,true,true,,,,http://img10.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqFksIAAAAAAFz1QaZrCUAAAHjwDR6zoAAXPt515.jpg,http://item.jd.com/899255.html
HealthPro,GC MultiGas,,,,710,410,380,,,22,57,20,160,-1,,,-1,,,,,,,3,http://img10.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqFksIAAAAAAFz1QaZrCUAAAHjwDR6zoAAXPt515.jpg,http://item.jd.com/899255.html
HealthPro,HealthPro 250,,,,,,,16.0,白色,22.0,57.0,20.0,160.0,,ABS,瑞士,,,支持,true,true,,,,http://img11.360buyimg.com/n1/g17/M00/00/13/rBEbR1NqFlAIAAAAAAFUPGAJZBMAAAHjQKxqW0AAVRU540.jpg,http://item.jd.com/899256.html
HealthPro,HealthPro 250,,,,710,410,380,,,22,57,20,160,-1,,,-1,,,,,,,3,http://img11.360buyimg.com/n1/g17/M00/00/13/rBEbR1NqFlAIAAAAAAFUPGAJZBMAAAHjQKxqW0AAVRU540.jpg,http://item.jd.com/899256.html
HealthPro,HealthPro100,,,,,,,12.0,白色,20.0,57.0,20.0,160.0,,ABS,瑞士,,,支持,true,true,,,,http://img13.360buyimg.com/n1/g16/M00/00/13/rBEbRVNqFkYIAAAAAAGHushNAksAAAHjwBUALMAAYfS380.jpg,http://item.jd.com/899253.html
HealthPro,HealthPro100,,,,610,380,410,,,20,57,20,160,-1,,,-1,,,,,,,3,http://img13.360buyimg.com/n1/g16/M00/00/13/rBEbRVNqFkYIAAAAAAGHushNAksAAAHjwBUALMAAYfS380.jpg,http://item.jd.com/899253.html
HealthWay,20600-3R,,,,730,390,440,17.5,黑色,,,,55,,,深圳,8.0,"HEPA滤网,活性炭滤网",有,支持,支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010692/000000000106922447/fullimage/000000000106922447_1.jpg,http://product.suning.com/106922447.html
IGUASSU,CHA-300WA,,,,326,162,512,5,白色,,,,20,,,韩国,12.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012073/000000000120732163/fullimage/000000000120732163_1.jpg,http://product.suning.com/120732163.html
IGUASSU,CHA-500UA,,,,403,252,570,8.2,红色,,,,220,,,韩国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012085/000000000120857808/fullimage/000000000120857808_1.jpg,http://product.suning.com/120857808.html
IGUASSU,CHA-500VH,,,,76,40,49,11,黑色,,,,220,,,韩国,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012046/000000000120462126/fullimage/000000000120462126_1.jpg,http://product.suning.com/120462126.html
IQAir,HealthPro 100,,,,750,430,455,,白色,,,,20,,,,,,,,,,,,http://2a.zol-img.com.cn/product/131_160x120/980/cekIHF4ewW0EQ.jpg,http://detail.zol.com.cn//377/376065/param.shtml
IQAir,HealthPro 150,,,,610,410,380,,,22,57,,20,,无气味，耐冲击，防紫外线，坚韧的ABS材料,,,,true,true,,true,true,,http://2b.zol-img.com.cn/product/131_160x120/881/cedu758DIQac.jpg,http://detail.zol.com.cn//377/376094/param.shtml
IQAir,HealthPro 250/PLUS,,,,410,380,710,14.4,白色,,,,60,,,瑞士,24.0,"HEPA滤网,活性炭滤网",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000012010/000000000120101173/fullimage/000000000120101173_1.jpg,http://product.suning.com/120101173.html
IQAir,HealthPro GC MultiGas,,,,710,410,380,,白色,22,57,,20,,无气味，耐冲击，防紫外线，坚韧的ABS材料,,,,true,true,,true,true,,http://2b.zol-img.com.cn/product/131_160x120/493/ceD0t5qYYUrag.jpg,http://detail.zol.com.cn//377/376098/param.shtml
IQAir,HealthPro250,,,,710,410,380,16,白色,22,57,,20,,无气味、耐冲击、防紫外线、坚韧的ABS材料,,,,true,true,,true,true,三,http://2a.zol-img.com.cn/product/125_160x120/594/cepl2RXwvErjo.jpg,http://detail.zol.com.cn//368/367899/param.shtml
IQI,AC50,,,,62,160,160,0.36,,,35,,8,18,,,,,,,,,,,http://2d.zol-img.com.cn/product/134_160x120/379/ce1cuJYTX3d2.jpg,http://detail.zol.com.cn//381/380999/param.shtml
IQI,AC60,,,,640,326,210,7.2,,,,,45,300,,,,,,,,,,1,http://2b.zol-img.com.cn/product/133_160x120/45/ceDkHE3CEovBQ.jpg,http://detail.zol.com.cn//380/379621/param.shtml
InovaAir,E10,,,,,,,11,白色,,,,230,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010721/000000000107216090/fullimage/000000000107216090_1.jpg,http://product.suning.com/107216090.html
InovaAir,E20 plus,,,,390,390,580,21,白色,,,,230,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010721/000000000107219113/fullimage/000000000107219113_1.jpg,http://product.suning.com/107219113.html
InovaAir,E30,,,,390,390,580,25,白色,,,,230,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010723/000000000107233665/fullimage/000000000107233665_1.jpg,http://product.suning.com/107233665.html
InovaAir,E60,,,,390,390,580,21,白色,,,,230,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010728/000000000107289004/fullimage/000000000107289004_1.jpg,http://product.suning.com/107289004.html
InovaAir,E7,,,,320,320,480,12,白色,,,,230,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010719/000000000107190981/fullimage/000000000107190981_1.jpg,http://product.suning.com/107190981.html
InovaAir,E8,,,,,,,14.4,白色,,,,35,,,澳大利亚,12.0,"HEPA滤网,活性炭滤网",无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010720/000000000107209180/fullimage/000000000107209180_1.jpg,http://product.suning.com/107209180.html
LETTOOS,A-PD57D-W,,,,329,209,569,8.1,白色,,,,48,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010881/000000000108810552/fullimage/000000000108810552_1.jpg,http://product.suning.com/108810552.html
LETTOOS,A-PD62D-K,,,,360,228,622,7,黑色,,,,55,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010881/000000000108811216/fullimage/000000000108811216_1.jpg,http://product.suning.com/108811216.html
LETTOOS,A-PD65D-W,,,,320,199,654,7.8,白色,,,,48,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010881/000000000108811093/fullimage/000000000108811093_1.jpg,http://product.suning.com/108811093.html
LETTOOS,A-SD48D-W,,,,320,199,654,7.8,白色,,,,48,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010881/000000000108810229/fullimage/000000000108810229_1.jpg,http://product.suning.com/108810229.html
LETTOOS,A-SN56W-G,,,,320,199,654,6.5,白色,,,,48,,,厦门,24.0,"HEPA滤网,活性炭滤网",无,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010881/000000000108810165/fullimage/000000000108810165_1.jpg,http://product.suning.com/108810165.html
LG,HPS-A090BW,,,,,,,0.53,,,,,3.2,,,韩国,,,,,,,,,http://img14.360buyimg.com/n1/g16/M00/02/0C/rBEbRlNsNcgIAAAAAALPAdNYGocAAAdtAPF9WEAAs8Z859.jpg,http://item.jd.com/927389.html
LG,HPS-B090BG,,,,,,,0.85,绿色,,32.0,,4.0,,,韩国,,,支持,true,,,,,http://img10.360buyimg.com/n1/g13/M0A/01/01/rBEhUlNoPmYIAAAAAAG1Vlt7wtkAAM6hgCPBR4AAbVu299.jpg,http://item.jd.com/647180.html
LG,HPS-B090BP,,,,,,,0.85,粉色,,32.0,,4.0,,,韩国,,,,true,,,,,http://img10.360buyimg.com/n1/g13/M0A/01/01/rBEhU1NoPn0IAAAAAAHSzY7AVEoAAM6hwODUkQAAdLl541.jpg,http://item.jd.com/647195.html
LG,HPS-B090BW ,,,,,,,0.85,白色,,32.0,,4.0,,,韩国,,,,true,,,,,http://img10.360buyimg.com/n1/g13/M0A/01/01/rBEhU1NoPosIAAAAAAGSeVsSbKIAAM6iQAiyPAAAZKR093.jpg,http://item.jd.com/647200.html
LG,PH-U450WN,,,,,,,12.0,白色,,18.0,,45.0,,,韩国,,,不支持,true,true,,true,,http://img14.360buyimg.com/n1/g15/M0A/1C/01/rBEhWlNoxYQIAAAAAAFNyonOSMkAAM8FwFvnkkAAU3i631.jpg,http://item.jd.com/481259.html
LG,PS-P809WF,,,,,,,16.0,白色,,53.0,,90.0,,,韩国,,,,true,,,true,,http://img11.360buyimg.com/n1/g12/M00/0F/0D/rBEQYFNneekIAAAAAAIpnli-kNIAAFizwMvn8sAAim2894.jpg,http://item.jd.com/1044136.html
LG,PS-R451WN,,,,,,,7.3,,,,,35.0,,,韩国,,,,,,,true,,http://img14.360buyimg.com/n1/g2/M04/00/06/rBEGEFNwcj8IAAAAAAEgXi4rVlQAABa3AI6fccAASB2029.jpg,http://item.jd.com/912109.html
LG,PS-S209WC,,,,,,,7.2,白色,,43.0,,18.0,,,韩国,,,,true,,,true,,http://img10.360buyimg.com/n1/g5/M02/1C/0A/rBEDilNwcdkIAAAAAAD60ipTV_YAAFiLQGfIxgAAPrq303.jpg,http://item.jd.com/1096570.html
LG,PS-T450WN,,,,,,,10.0,白色,,18.0,,50.0,,,韩国,,,不支持,true,,,true,,http://img13.360buyimg.com/n1/g16/M00/04/1D/rBEbRVNwcnMIAAAAAAC80d5odJ0AAA9KwOvV44AALzp255.jpg,http://item.jd.com/481243.html
Magiclight ball,幻彩M1,,,,,,,,幻彩绿,,,,,,,中国,,,不支持,true,,,,,http://img12.360buyimg.com/n1/jfs/t148/213/1498187194/77462/fc1022b0/53b26e7fNec4b0437.jpg,http://item.jd.com/1163972.html
Magiclight ball,幻彩M1,,,,,,,,魔幻橙,,,,,,,中国,,,不支持,true,,,,,http://img11.360buyimg.com/n1/jfs/t202/43/1593942005/79881/a72009ba/53b26e7dNbe62f823.jpg,http://item.jd.com/1163971.html
QQVIP,QAC-F301,,,,,,,4.8,金,,,,50.0,,,,,,,true,true,,,,http://img10.360buyimg.com/n1/jfs/t172/165/709660544/60004/fdefd9fe/5396a642N89049c41.jpg,http://item.jd.com/1142330.html
QQVIP,QAC-F301,,,,,,,4.8,银色,,,,50.0,,,,,,,true,true,,,,http://img12.360buyimg.com/n1/jfs/t208/307/767444881/54673/54b0af8c/5396a64aNe41b6041.jpg,http://item.jd.com/1142332.html
QQVIP,QAC-P301,,,,,,,,土豪金,,,,,,,,,,,,,,,,http://img11.360buyimg.com/n1/jfs/t190/208/692515474/98931/bd29f60a/5396a646N59069aa4.jpg,http://item.jd.com/1142331.html
QQVIP,QAC-P301,,,,,,,,拉丝银,,,,,,,,,,,,,,,,http://img10.360buyimg.com/n1/jfs/t181/169/738106922/84810/cb2bff1f/5396a63aN6b87dd1d.jpg,http://item.jd.com/1142325.html
SKG,4202,,,,,,,4.9,紫色,,,,,,ABS,广东顺德,,,,true,,,,,http://img10.360buyimg.com/n1/g16/M00/01/1C/rBEbRVNrZhUIAAAAAASfCtQCMpEAAAXZAJXGkcABJ8i357.jpg,http://item.jd.com/964790.html
SKG,4202,,,,522,320,216,4.5,,,,,45,,,,,HEPA,,,,,,,http://2b.zol-img.com.cn/product/125_160x120/191/cebrcZE105Xk.jpg,http://detail.zol.com.cn//368/367715/param.shtml
SKG,4203,,,,645,320,199,7.8,香槟色,,,,80,350,ABS,,,HEPA,,,,,,,http://2c.zol-img.com.cn/product/125_160x120/216/ceNlLyb3XAA0w.jpg,http://detail.zol.com.cn//368/367716/param.shtml
